PROJECTID,NAME,ADDRESS,CITY,STATE,ZIP,MSA,LATITUDE,LONGITUDE,MANAGEMENTCOMPANY,SUBMARKET,QUANTITY,AREAPERUNIT,LEVEL,YEARBUILT,MRG_CLASS,AXIOSUBMNEM,OCCUPANCY_PERCENTAGE,MARKET
45622,Enterprise Apartments,79 Rantoul St,Beverly,MA,1915,"Boston-Cambridge-Newton, MA-NH",42.545700073,-70.88474274,"The Dolben Company, Inc.",BOS_SM9,45,883.359985352,4,2014,A,BOS_SM9,1.0,BOS
50011,Loft23,23 Sidney St,Cambridge,MA,2139,"Boston-Cambridge-Newton, MA-NH",42.362304688,-71.10059357,"Forest City Realty Trust, Inc.",BOS_SM5,48,810.849975586,4,2005,A,BOS_SM5,1.0,BOS
50671,Wyeth Cambridge,120 Rindge Ave,Cambridge,MA,2140,"Boston-Cambridge-Newton, MA-NH",42.392990112,-71.1297226,Lincoln Property Company,BOS_SM5,63,1135.300048828,4,2014,A,BOS_SM5,1.0,BOS
64200,808-812 Memorial Drive,808 Memorial Dr,Cambridge,MA,2139,"Boston-Cambridge-Newton, MA-NH",42.360599518,-71.11527252,Winn Companies,BOS_SM5,301,801.010009766,23,1969,BC,BOS_SM5,1.0,BOS
64216,Auburn Court I & II,1 Brookline Pl,Cambridge,MA,2139,"Boston-Cambridge-Newton, MA-NH",42.362468719,-71.10205078,Winn Companies,BOS_SM5,137,1077.630004883,6,1998,A,BOS_SM5,1.0,BOS
64482,Stonehill Towers,5 Stonehill Dr,Stoneham,MA,2180,"Boston-Cambridge-Newton, MA-NH",42.499565125,-71.10284424,Wakefield Investments,BOS_SM20,204,1202.670043945,6,1964,BC,BOS_SM20,1.0,BOS
65157,Reservoir Towers,1925 Commonwealth Ave,Boston,MA,2135,"Boston-Cambridge-Newton, MA-NH",42.338798523,-71.15455627,Wingate Management,BOS_SM4,242,786.780029297,16,1979,BC,BOS_SM4,1.0,BOS
66530,Counting House Lofts 71,27 Jackson St,Lowell,MA,1852,"Boston-Cambridge-Newton, MA-NH",42.642440796,-71.31059265,Winn Companies,BOS_SM12,75,820.039978027,5,2017,BC,BOS_SM12,1.0,BOS
70099,Latin Academy I,380 Talbot Ave,Dorchester,MA,2124,"Boston-Cambridge-Newton, MA-NH",42.29026413,-71.07015991,Winn Companies,BOS_SM8,58,845.929992676,5,1990,BC,BOS_SM8,1.0,BOS
70125,Canton Estates Apartments,32 Neponset St Ste 1202,Canton,MA,2021,"Boston-Cambridge-Newton, MA-NH",42.1524086,-71.1498642,Wingate Companies,BOS_SM6,64,802.340026855,3,1983,BC,BOS_SM6,1.0,BOS
73213,Princeton on Beacon Street,1470 Beacon St,Brookline,MA,2446,"Boston-Cambridge-Newton, MA-NH",42.340579987,-71.12809753,Princeton Properties,BOS_SM4,57,458.25,7,1890,BC,BOS_SM4,1.0,BOS
73410,Clinton And Prospect Apartments,258 Harvard St,Cambridge,MA,2139,"Boston-Cambridge-Newton, MA-NH",42.368274689,-71.10215759,Wingate Management,BOS_SM5,54,676.849975586,4,1920,BC,BOS_SM5,1.0,BOS
73923,Gaslight Village,101 Gas Light Dr,South Weymouth,MA,2190,"Boston-Cambridge-Newton, MA-NH",42.170051575,-70.95371246,Bay Management Group,BOS_SM18,400,854.349975586,3,1968,BC,BOS_SM18,1.0,BOS
